Consuelo Adler,https://www.fashionmodeldirectory.com/models/consuelo_adler/,Venezuelan,NA,178.0,89.0,66.0,89.0,36,40,Blonde,Blue / green
Signija Admidina,https://www.fashionmodeldirectory.com/models/signija_admidina/,Latvian,NA,178.0,79.0,61.0,91.5,36,39,Dark blonde,Brown
Beatrice Adochitei,https://www.fashionmodeldirectory.com/models/beatrice_adochitei/,Romanian,NA,178.0,83.0,60.0,89.0,38,39,Blonde,Blue
Luciane Adoryan,https://www.fashionmodeldirectory.com/models/luciane_adoryan/,Brazilian,NA,178.0,82.5,62.0,90.0,34,39,Brown,Green
Alvar Af Schulten,https://www.fashionmodeldirectory.com/models/alvar_af+schulten/,Finnish,NA,189.0,83.0,66.0,87.0,38,44,Dark blonde,Blue
Doriana Agacinska,https://www.fashionmodeldirectory.com/models/doriana_agacinska/,Polish,NA,178.0,80.0,60.0,89.0,34,39,Brown,Brown
Ksenia Agafonova,https://www.fashionmodeldirectory.com/models/ksenia_agafonova/,Russian,"June25, 1983",179.0,84.0,61.0,87.5,34,38.5,Brown,Brown
Rimma Agafoshina,https://www.fashionmodeldirectory.com/models/rimma_agafoshina/,Russian,1981,175.5,95.0,60.0,90.0,34-36,40,Dark blonde,Green
Vipasha Agarwal,https://www.fashionmodeldirectory.com/models/vipasha_agarwal/,Indian,"January 3, 1985",170.0,77.5,61.0,86.5,32,39,Brown,Brown
Ewa Agata,https://www.fashionmodeldirectory.com/models/ewa_agata/,Polish,January 13 1987,180.0,84.0,60.0,90.0,36,39,Blonde,Blue
Panagiotis Agavanakis,https://www.fashionmodeldirectory.com/models/panagiotis_agavanakis/,Greek,NA,189.0,94.0,76.0,92.0,48,44,Black,Brown
Alicia Agazzani,https://www.fashionmodeldirectory.com/models/alicia_agazzani/,Italian,October 1987,177.0,84.0,62.0,88.0,34,39,Blonde,Blue
Alessia Agazzani,https://www.fashionmodeldirectory.com/models/alessia_agazzani/,Italian,October 1987,175.0,85.0,62.0,88.0,34,39,Blonde,Blue
Nnenna Agba,https://www.fashionmodeldirectory.com/models/nnenna_agba/,American,1984,175.5,86.5,61.0,84.0,34,38,Black,Brown
Noellie Agboton,https://www.fashionmodeldirectory.com/models/noellie_agboton/,Canadian,NA,177.0,86.0,64.0,91.0,38,39,Black,Brown
Nina Agdal,https://www.fashionmodeldirectory.com/models/nina_agdal/,Danish,26 march 1992,176.0,82.0,60.0,91.5,36,40,Light brown,Green / grey
Sarah Elise Agee,https://www.fashionmodeldirectory.com/models/sarah+elise_agee/,American,NA,177.0,83.0,60.0,86.0,30-32,40,Blonde,Blue
Justina Ageitos,https://www.fashionmodeldirectory.com/models/justina_ageitos/,Argentinian,NA,178.0,80.0,59.0,87.0,35,40,Brown,Hazel
Awisa Aghaza,https://www.fashionmodeldirectory.com/models/awisa_aghaza/,Iranian,NA,173.0,82.0,60.0,88.0,34-36,38,Brown,Blue
Violetta Agibalova,https://www.fashionmodeldirectory.com/models/violetta_agibalova/,Russian,1985,177.0,86.0,60.0,90.0,34,40,Brown,Green
Jordan Agnew,https://www.fashionmodeldirectory.com/models/jordan_agnew/,New Zealander,NA,178.0,86.0,66.0,89.0,36,42,Brown,Blue
Mari Agory,https://www.fashionmodeldirectory.com/models/mari_agory/,Sudanese,NA,180.0,86.0,61.0,86.0,32-34,38.5,Black,Dark brown
Anna Agoston,https://www.fashionmodeldirectory.com/models/anna_agoston/,Hungarian,NA,180.0,80.0,60.0,91.0,36,40,Dark blonde,Blue
Alexandra Agoston-O&#039;Connor,https://www.fashionmodeldirectory.com/models/alexandra_agoston-o%27connor/,Australian,June 24 1987,180.0,86.5,61.0,89.0,34,41,Brown,Brown
Ida Agrahn,https://www.fashionmodeldirectory.com/models/ida_agrahn/,Swedish,"October 5, 1989",177.0,81.0,58.0,88.0,33,NA,Blonde,Blue
Sigrid Agren,https://www.fashionmodeldirectory.com/models/sigrid_agren/,French,"April 24, 1991",178.0,81.0,61.0,86.5,34,40,Blonde,Light brown
