Ruben Aiello,https://www.fashionmodeldirectory.com/models/ruben_aiello/,Italian,December 14,186.0,98.0,76.0,96.0
Adesuwa Aighewi,https://www.fashionmodeldirectory.com/models/adesuwa_aighewi/,American,"April 22, 1988",175.0,79.0,61.0,86.5
Natazha Aiken,https://www.fashionmodeldirectory.com/models/natazha_aiken/,American,NA,178.0,86.0,64.0,86.0
Alisar Ailabouni,https://www.fashionmodeldirectory.com/models/alisar_ailabouni/,Austrian,March 21 1989,178.0,79.0,61.0,89.0
Ann-Marie Ainikkamäki,https://www.fashionmodeldirectory.com/models/ann-marie_ainikkam%c3%a4ki/,Finnish,"June 27, 1990",178.0,81.0,60.0,89.0
Jacqui Ainsley,https://www.fashionmodeldirectory.com/models/jacqui_ainsley/,British (English),"November 28, 1981",175.0,86.5,61.0,89.0
Otilia Aionesei,https://www.fashionmodeldirectory.com/models/otilia_aionesei/,Romanian,1987,175.0,81.0,61.0,89.0
Jorgelina Airaldi,https://www.fashionmodeldirectory.com/models/jorgelina_airaldi/,Argentinian,April 17 1984,175.0,86.0,60.0,86.5
Akiima Ajak,https://www.fashionmodeldirectory.com/models/akiima_ajak/,Australian,1997,181.0,78.0,58.5,89.0
Aika Ajgulya,https://www.fashionmodeldirectory.com/models/aika_ajgulya/,Russian,NA,173.0,85.0,58.0,88.0
Nylow Ajing,https://www.fashionmodeldirectory.com/models/nylow_ajing/,Sudanese,NA,173.0,76.0,57.0,76.0
Deborah Akanni,https://www.fashionmodeldirectory.com/models/deborah_akanni/,Nigerian,NA,178.0,79.0,59.0,86.0
Neva Akdag,https://www.fashionmodeldirectory.com/models/neva_akdag/,German,NA,180.0,79.0,61.0,88.0
Adut Akech Bior,https://www.fashionmodeldirectory.com/models/adut_akech+bior/,Sudanese,"1999, 25th December",176.0,76.0,61.0,84.0
Tricia Akello,https://www.fashionmodeldirectory.com/models/tricia_akello/,Ugandan,NA,180.0,81.0,60.0,88.0
Mammina Aker,https://www.fashionmodeldirectory.com/models/mammina_aker/,Senegalese,NA,178.0,81.0,60.0,83.0
Amelia Rose Akerhielm,https://www.fashionmodeldirectory.com/models/amelia+rose_akerhielm/,American,NA,175.0,73.0,58.0,85.0
Lisa Akesson,https://www.fashionmodeldirectory.com/models/lisa_akesson/,Swedish,"October 23, 1989",178.0,87.0,64.0,93.0
Tatia Akhalaia,https://www.fashionmodeldirectory.com/models/tatia_akhalaia/,Georgian,NA,180.0,82.0,59.0,89.0
Kristina Akheeva,https://www.fashionmodeldirectory.com/models/kristina_akheeva/,Australian,"November 1, 1986",170.0,81.0,61.0,86.5
Nastya Akhmametjeva,https://www.fashionmodeldirectory.com/models/nastya_akhmametjeva/,Russian,NA,177.0,80.0,60.0,88.0
Olga Akhunova,https://www.fashionmodeldirectory.com/models/olga_akhunova/,Russian,"November 28, 1983",177.0,82.0,60.0,89.0
Archana Akil Kumar,https://www.fashionmodeldirectory.com/models/archana_akil+kumar/,Indian,August 23,175.0,81.0,61.0,91.0
Azra Akin,https://www.fashionmodeldirectory.com/models/azra_akin/,Turkish,December 8 1981,177.0,89.0,64.0,92.0
Shade Akinbobola,https://www.fashionmodeldirectory.com/models/shade_akinbobola/,Nigerian,NA,180.0,73.0,58.4,84.0
Aitiola Akinola,https://www.fashionmodeldirectory.com/models/aitiola_akinola/,Nigerian,NA,180.0,81.0,61.0,86.0
Umi Akiyoshi,https://www.fashionmodeldirectory.com/models/umi_akiyoshi/,American,"October 4, 1996",174.0,79.0,62.0,87.5
Barathy Akkan,https://www.fashionmodeldirectory.com/models/barathy_akkan/,Swiss,NA,180.0,80.0,62.0,90.0
Ninouk Akkerman,https://www.fashionmodeldirectory.com/models/ninouk_akkerman/,Dutch,NA,177.0,79.0,60.0,88.0
Irina Aksenova,https://www.fashionmodeldirectory.com/models/irina_aksenova/,Ukrainian,NA,178.0,82.0,60.0,89.0
Elif Aksu,https://www.fashionmodeldirectory.com/models/elif_aksu/,Turkish,NA,172.0,83.0,58.0,85.0
Adaora Akubilo,https://www.fashionmodeldirectory.com/models/adaora_akubilo/,Nigerian,NA,180.0,86.0,64.0,91.0
Agi Akur,https://www.fashionmodeldirectory.com/models/agi_akur/,Sudanese,NA,175.0,75.0,56.0,87.0
Amar Akway,https://www.fashionmodeldirectory.com/models/amar_akway/,Ethiopian,NA,180.0,82.0,61.0,86.0
Emin Akyildiz,https://www.fashionmodeldirectory.com/models/emin_akyildiz/,Turkish,NA,188.0,96.0,76.0,96.0
Amira Al Zuhair,https://www.fashionmodeldirectory.com/models/amira_al+zuhair/,French,NA,179.0,77.0,57.0,88.0
Zanetta Al-Bu-Saidi,https://www.fashionmodeldirectory.com/models/zanetta_al-bu-saidi/,French,NA,175.0,86.5,63.5,91.5
Erjona Ala,https://www.fashionmodeldirectory.com/models/erjona_ala/,Norwegian,July 12 1995,179.0,85.0,62.0,89.0
Rhenny Alade,https://www.fashionmodeldirectory.com/models/rhenny_alade/,Nigerian,NA,178.0,77.0,65.0,90.0
Anita Alam,https://www.fashionmodeldirectory.com/models/anita_alam/,American,NA,174.0,81.0,61.0,86.5
Marta Alba,https://www.fashionmodeldirectory.com/models/marta_alba/,Spanish,1976,178.0,86.0,61.0,89.0
Alejandro Albaladejo,https://www.fashionmodeldirectory.com/models/alejandro_albaladejo/,Spanish,NA,188.0,87.0,75.0,87.0
Fernando Albaladejo,https://www.fashionmodeldirectory.com/models/fernando_albaladejo/,Spanish,NA,188.0,94.0,76.0,92.0
Gianne Albertoni,https://www.fashionmodeldirectory.com/models/gianne_albertoni/,Brazilian,July 5 1981,180.0,87.0,61.0,87.0
Heidi Albertsen,https://www.fashionmodeldirectory.com/models/heidi_albertsen/,Danish,NA,178.0,90.0,63.0,90.0
Katerina Albisetti,https://www.fashionmodeldirectory.com/models/katerina_albisetti/,Swiss,November 3,179.0,85.0,61.0,89.0
Jacqueline Alblas,https://www.fashionmodeldirectory.com/models/jacqueline_alblas/,Singaporean,NA,178.0,86.5,61.0,86.5
Helen Albornoz,https://www.fashionmodeldirectory.com/models/helen_albornoz/,Colombian,NA,179.0,79.0,61.0,87.0
Victoria Albornoz,https://www.fashionmodeldirectory.com/models/victoria_albornoz/,Argentinian,NA,180.0,78.0,59.0,87.0
Alessandra Albrecht,https://www.fashionmodeldirectory.com/models/alessandra_albrecht/,Brazilian,NA,179.0,81.0,64.0,90.0
Anna Albrekht,https://www.fashionmodeldirectory.com/models/anna_albrekht/,Russian,February 24,179.0,82.0,62.0,90.0
Jenny Albright,https://www.fashionmodeldirectory.com/models/jenny_albright/,American,NA,178.0,84.0,61.0,86.5
Niko Alcala,https://www.fashionmodeldirectory.com/models/niko_alcala/,American,NA,188.0,81.0,71.0,81.0
Aga Alchimowicz,https://www.fashionmodeldirectory.com/models/aga_alchimowicz/,Polish,NA,175.0,87.5,59.5,89.0
Jazmín Alcorta,https://www.fashionmodeldirectory.com/models/jazm%c3%adn_alcorta/,Argentinian,1980,173.0,89.0,61.0,88.0
Adele Aldighieri,https://www.fashionmodeldirectory.com/models/adele_aldighieri/,Italian,NA,178.0,83.0,61.0,90.0
Saffron Aldridge,https://www.fashionmodeldirectory.com/models/saffron_aldridge/,British (English),NA,177.0,86.0,64.0,89.0
Lily Aldridge,https://www.fashionmodeldirectory.com/models/lily_aldridge/,American,November 15 1985,175.0,79.0,58.5,84.0
Nadia Aldridge,https://www.fashionmodeldirectory.com/models/nadia_aldridge/,British (English),NA,178.0,86.5,61.0,89.0
Ruby Aldridge,https://www.fashionmodeldirectory.com/models/ruby_aldridge/,American,1991,179.0,84.0,61.0,86.5
Dounia Aleksic,https://www.fashionmodeldirectory.com/models/dounia_aleksic/,German,NA,177.0,84.0,61.0,89.0
Indre Aleksiuk,https://www.fashionmodeldirectory.com/models/indre_aleksiuk/,Lithuanian,NA,177.0,83.0,63.0,89.0
Anastasia Aleshina,https://www.fashionmodeldirectory.com/models/anastasia_aleshina/,Russian,March 27 1988,176.0,83.0,59.0,89.0
Gianluca Alessi,https://www.fashionmodeldirectory.com/models/gianluca_alessi/,Argentinian,NA,189.0,97.0,80.0,98.0
Ibrahima Alessio,https://www.fashionmodeldirectory.com/models/ibrahima_alessio/,Senegalese,NA,186.0,85.0,74.0,88.0
Sanne Aleth,https://www.fashionmodeldirectory.com/models/sanne_aleth/,Danish,NA,173.0,81.0,59.0,88.0
Avril Alexander,https://www.fashionmodeldirectory.com/models/avril_alexander/,Australian,NA,178.0,81.0,64.0,89.0
Brad Alexander,https://www.fashionmodeldirectory.com/models/brad_alexander/,British (English),NA,188.0,86.0,79.0,94.0
Rachel Alexander,https://www.fashionmodeldirectory.com/models/rachel_alexander/,American,"September 17, 1987",176.5,81.0,58.5,86.5
Karen Alexander,https://www.fashionmodeldirectory.com/models/karen_alexander/,American,NA,178.0,86.0,61.0,86.0
Rohan Alexander,https://www.fashionmodeldirectory.com/models/rohan_alexander/,British (English),NA,185.0,84.0,68.0,86.4
Laura-Jade Alexander-Breton,https://www.fashionmodeldirectory.com/models/laura-jade_alexander-breton/,Australian,NA,177.0,81.0,61.0,86.0
Theres Alexandersson,https://www.fashionmodeldirectory.com/models/theres_alexandersson/,Swedish,"December 4, 1990",178.0,82.0,62.0,90.0
Julia Alexandratou,https://www.fashionmodeldirectory.com/models/julia_alexandratou/,Greek,November 24 1985,175.0,86.0,59.0,90.0
Mary Alexandridi,https://www.fashionmodeldirectory.com/models/mary_alexandridi/,Greek,NA,178.0,78.0,62.0,91.0
Olga Alexandrovskaia,https://www.fashionmodeldirectory.com/models/olga_alexandrovskaia/,Russian,1984,175.0,86.5,58.5,86.5
Masha Alexeeva,https://www.fashionmodeldirectory.com/models/masha_alexeeva/,Russian,NA,178.0,84.0,62.0,88.0
Alek Alexeyeva,https://www.fashionmodeldirectory.com/models/alek_alexeyeva/,Kazakhstani,"December 8, 1990",177.0,84.0,61.0,89.0
Kim Alexis,https://www.fashionmodeldirectory.com/models/kim_alexis/,American,July 15 1960,176.5,84.0,63.5,85.0
Kira Alferink,https://www.fashionmodeldirectory.com/models/kira_alferink/,Dutch,NA,178.0,84.0,64.0,88.0
Tuva Alfredsson Mellbert,https://www.fashionmodeldirectory.com/models/tuva_alfredsson+mellbert/,Swedish,NA,177.0,80.0,60.0,90.0
Alyssah Ali,https://www.fashionmodeldirectory.com/models/alyssah_ali/,Canadian,NA,175.0,82.5,57.0,86.5
Cici Ali,https://www.fashionmodeldirectory.com/models/cici_ali/,Canadian,NA,175.0,78.0,61.0,86.0
Skarla Ali,https://www.fashionmodeldirectory.com/models/skarla_ali/,French,NA,180.0,82.0,57.0,86.0
Shaya Ali,https://www.fashionmodeldirectory.com/models/shaya_ali/,American,NA,180.0,81.0,61.0,89.0
Samir Ali,https://www.fashionmodeldirectory.com/models/samir_ali/,British (English),NA,189.0,89.0,68.0,89.0
